Dấu thời gian,Name,UID,Wallet,Email,Tx hash,Which feature did you like the most?,Would you recommend this product to others?,What feature do you think is missing?,Did you encounter any bugs or usability issues?,What improvements would you like to see?
18/09/2026 5:53:06,Dang Quoc Khang,UID-UC-056,mn_shield-addr_preprod1xx9e5g55oq49cqyynf33gjgs3q3p0a62eht8gd4gp3tk2p5nksrv7f5gsqcuj5009xk067r0fk3fcm3grlkaey78pwrfveq0xh2v44l1a1,quockhang.dang16@gmail.com,0x9037679e90695d2689c16358bc2eff9a499df4f4f1aed96201695aa0c13ed901,The simplicity of the application,"Yes, after improving reliability",Multiple credential support,The application was mostly smooth,A proof history page
18/09/2026 12:01:51,Do Gia Bao,UID-UC-057,mn_shield-addr_preprod1yx3f8h77pq51dqyynf66gjgs1r5p0a62eht8gd4gp3tk2p5nksrv7f5gsqcuj5009xk067r0fk3fcm3grlkaey78pwrfveq0xh2v11m5b6,giabao.do89@gmail.com,0x9aa815c114bb4031515ae752c08aad31633eb92628289e5dadcf68cf181d68eb,The private credential functionality,"Yes, the confidential verification approach is valuable",A better mobile layout,I found the error messages difficult to interpret,A more beginner-friendly interface
18/09/2026 12:20:55,Ngo Thanh Tung,UID-UC-058,mn_shield-addr_preprod1zx6g1i99qq62eqyynf22gjgs8s7p0a62eht8gd4gp3tk2p5nksrv7f5gsqcuj5009xk067r0fk3fcm3grlkaey78pwrfveq0xh2v77n9c2,thanhtung.ngo44@gmail.com,0x006106e8b56ba7868ac56fda0626e2deea563da909d25928c24d361ce18ab15b,The easy-to-understand UI,"Yes, it is a useful demo",A proof status tracker,There was no obvious indicator while waiting for the proof,More detailed credential information
18/09/2026 18:22:23,Duong Minh Khang,UID-UC-059,mn_shield-addr_preprod1ax8h4j22rq73fqyynf88gjgs5t9p0a62eht8gd4gp3tk2p5nksrv7f5gsqcuj5009xk067r0fk3fcm3grlkaey78pwrfveq0xh2v33o3d8,minhkhang.duong62@gmail.com,0xe43ced1a35674e76d393a7f2795e968f1d53d366f8a8349f109e9e8750b60e43,The verification process,"Probably yes, with more features",A developer documentation page,The transaction status could be clearer,Better transaction notifications
18/09/2026 19:56:37,Phan Quang Huy,UID-UC-060,mn_shield-addr_preprod1bx1i7k44sq84gqyynf11gjgs2u1p0a62eht8gd4gp3tk2p5nksrv7f5gsqcuj5009xk067r0fk3fcm3grlkaey78pwrfveq0xh2v99p7e4,quanghuy.phan25@gmail.com,0x8619f81abe46caa890f1589f1930e24ac6a3afaaf256658a14b800b8a54c3542,The ability to keep credential data private,"Yes, the product direction is good",Credential templates,I had a minor issue during verification,A guided demo for new users
18/09/2026 22:09:14,Nguyen Duc Thang,UID-UC-061,mn_shield-addr_preprod1cx4j9l66tq95hqyynf77gjgs7v3p0a62eht8gd4gp3tk2p5nksrv7f5gsqcuj5009xk067r0fk3fcm3grlkaey78pwrfveq0xh2v22q1f9,ducthang.nguyen85@gmail.com,0x24e59e893e01c9b5f8007146e91d64761685609023299233b37cd3717f87db01,The minimal and focused design,"Yes, especially for identity and access use cases",A clearer explanation of eligibility requirements,No major problem during testing,A cleaner error state design
19/09/2026 8:48:30,Tran Minh Duc,UID-UC-062,mn_shield-addr_preprod1dx7k2m88uq16iqyynf44gjgs9w5p0a62eht8gd4gp3tk2p5nksrv7f5gsqcuj5009xk067r0fk3fcm3grlkaey78pwrfveq0xh2v88r5g3,minhduc.tran38@gmail.com,0xa36e12b6c638c1efad2a6952c834a5a7e961af468c91a88be97ee186f69a5755,The credential proof flow,I would recommend trying the platform,A transaction confirmation modal,The wallet and transaction states could be explained better,More flexibility in eligibility rules
19/09/2026 9:20:19,Le Gia Kiet,UID-UC-063,mn_shield-addr_preprod1ex9l5n11vq27jqyynf99gjgs3x7p0a62eht8gd4gp3tk2p5nksrv7f5gsqcuj5009xk067r0fk3fcm3grlkaey78pwrfveq0xh2v55s9h7,giakiet.le72@gmail.com,0x3c6e24b374804b08ae6c39ab7f7ba03a8599cc371cf265a2007c3c113286cc48,The privacy features,"Yes, it provides an interesting privacy solution",A way to copy proof IDs easily,I received an error but was able to retry,A credential revocation feature
19/09/2026 11:44:32,Pham Thanh Quan,UID-UC-064,mn_shield-addr_preprod1fx3m8o33wq38kqyynf33gjgs1y9p0a62eht8gd4gp3tk2p5nksrv7f5gsqcuj5009xk067r0fk3fcm3grlkaey78pwrfveq0xh2v44t3i1,thanhquan.pham47@gmail.com,0x0563bbd845dbd4a55749da2d75d600e807cd6c3267d76226cc9925dc5533e255,The simple registration step,"Yes, with better onboarding",More user settings,The proof process needs stronger loading feedback,Better performance during proof generation
19/09/2026 23:37:33,Vo Minh Anh,UID-UC-065,mn_shield-addr_preprod1gx6n1p55xq49lqyynf66gjgs8z1p0a62eht8gd4gp3tk2p5nksrv7f5gsqcuj5009xk067r0fk3fcm3grlkaey78pwrfveq0xh2v11u7j6,minhanh.vo92@gmail.com,0x3d3dfc65c270f3f2c8f12e8ee6a2440455ce801f3ba2885e98d5753cb4bcbe22,The eligibility verification concept,"Definitely, the core idea is strong",A credential expiration feature,"Registration worked, but the completion state was subtle",More visible transaction states
20/09/2026 1:33:38,Bui Quang Nam,UID-UC-066,mn_shield-addr_preprod1hx8o4q77yq51mqyynf22gjgs5a3p0a62eht8gd4gp3tk2p5nksrv7f5gsqcuj5009xk067r0fk3fcm3grlkaey78pwrfveq0xh2v77v1k2,quangnam.bui35@gmail.com,0xbed3155f1fb30d70c5ee5af84e002ab26055591793c39968ae13b71bfb741e5a,The overall confidential credential experience,"Yes, I can see practical use cases for it",A simple tutorial,I experienced a short delay during a transaction,A copy button for proof and transaction IDs
21/09/2026 3:07:46,Hoang Duc Huy,UID-UC-067,mn_shield-addr_preprod1ix1p7r99zq62nqyynf88gjgs2b5p0a62eht8gd4gp3tk2p5nksrv7f5gsqcuj5009xk067r0fk3fcm3grlkaey78pwrfveq0xh2v33w5l8,duchuy.hoang59@gmail.com,0x20cb204761c6e4f6cd5208f0c7ec4ec39aae62d100a8dafb1b175a2c0136df0d,The secure proof mechanism,"Yes, if transaction errors are easier to understand",A system status page,No bugs that blocked my experience,Clearer network information
21/09/2026 11:06:12,Dang Minh Kiet,UID-UC-068,mn_shield-addr_preprod1jx4q9s22aq73oqyynf11gjgs7c7p0a62eht8gd4gp3tk2p5nksrv7f5gsqcuj5009xk067r0fk3fcm3grlkaey78pwrfveq0xh2v99x9m4,minhkiet.dang23@gmail.com,0x64c6d89c10edd1ec18e0179916d0a68816424f426a18d593eb89b9b06d53854f,The clean landing interface,I would recommend it to early adopters,More examples on the homepage,The verification error should explain what went wrong,A better mobile experience
21/09/2026 12:00:11,Do Quoc Bao,UID-UC-069,mn_shield-addr_preprod1kx7r2t44bq84pqyynf77gjgs9d9p0a62eht8gd4gp3tk2p5nksrv7f5gsqcuj5009xk067r0fk3fcm3grlkaey78pwrfveq0xh2v22y3n9,quocbao.do86@gmail.com,0x0db370478f3db4553d458d66fc58a602312feb694ac7820bbe7b6d36f15827e2,The privacy-first approach,"Yes, especially for people interested in Midnight",A history of previous proofs,I was unsure if my credential had been saved,More educational content about private credentials
22/09/2026 1:41:25,Ngo Gia Huy,UID-UC-070,mn_shield-addr_preprod1lx9s5u66cq95qqyynf44gjgs3e1p0a62eht8gd4gp3tk2p5nksrv7f5gsqcuj5009xk067r0fk3fcm3grlkaey78pwrfveq0xh2v88z7o3,giahuy.ngo49@gmail.com,0xf392e47ad45aae8379db2c81da06cd5c84121493c7e6da144f23dba2d1cfd7e4,The credential commitment feature,"Yes, the product is promising",Credential revocation controls,The flow was generally smooth with a few unclear states,A complete credential management dashboard
22/09/2026 6:50:25,Duong Thanh Khang,UID-UC-071,mn_shield-addr_preprod1kx8m2p44yq95sqyynf77gjgs1a3p0a62eht8gd4gp3tk2p5nksrv7f5gsqcuj5009xk067r0fk3fcm3grlkaey78pwrfveq0xh2v33a7b9,thanhkhang.duong66@gmail.com,0x44fa7e81b7e61a293c401340b9387e07a34612349098711e59483719da6b421a,The private proof experience,Yes,A clearer distinction between register and prove,I encountered one failed proof attempt,Better recovery from failed requests
22/09/2026 9:48:07,Phan Minh Long,UID-UC-072,mn_shield-addr_preprod1mx5n9q77zq16tqyynf33gjgs8b5p0a62eht8gd4gp3tk2p5nksrv7f5gsqcuj5009xk067r0fk3fcm3grlkaey78pwrfveq0xh2v77c9d2,minhlong.phan14@gmail.com,0x78ab2c31e9487c631a08459b12389e7456d98124097f21509a7b9835ec41b89c,The combination of privacy and credential verification,"Yes, I would recommend it after a little more polish",A downloadable verification receipt,The app could handle failed requests more gracefully,More polished feedback throughout the verification flow
